Gene	FC	Length
Mpv17l2	2.668791	2272
Mknk2	2.6615994	10961
Myo6	2.6567152	146698
Ep400	2.6559594	106344
Nefm	2.6492932	42256
Myo1e	2.6447182	192717
Spen	2.6415014	70707
Ston2	2.63472	149845
Cab39l	2.6343396	107922
Acsl4	2.6337998	72542
Extl1	2.6308541	27478
Osgin2	2.6296742	16767
F13b	2.625303	22049
Dna2	2.618762	27159
Pim1	2.6156442	4633
Pdzd4	2.6138778	31610
Pik3cb	2.6127899	102219
Whamm	2.6108682	25544
Psip1	2.6076312	30779
Pik3r3	2.6069715	81438
Ddi2	2.5995076	45870
Gclc	2.5983114	39950
H2-D1	2.5973008	4769
Stk17b	2.5865006	29718
2810408I11Rik	2.5828655	10788
Sirt1	2.5818875	62699
Habp4	2.579789	24670
Slc12a2	2.5760865	68143
Ern1	2.575129	93202
Ppat	2.5701485	38329
Slc25a36	2.5657575	35560
Taf12	2.56238	21391
Stim2	2.5613375	122640
Mum1l1	2.5611727	28293
Ddx11	2.5574958	28647
Mtap	2.5569618	43959
Nmt2	2.5512364	44665
Taf5	2.5462615	15731
Ccnf	2.5460274	28798
Rnf128	2.5453596	109829
Pms1	2.5442765	107831
Scrn3	2.5394201	25217
Raly	2.5309262	76165
Rnf38	2.528121	107579
Kcne4	2.5227377	3097
Fus	2.5224214	14911
Cnnm2	2.520061	117199
Sin3a	2.517609	56326
Ddit3	2.5155349	5514
Tiparp	2.5111558	26735
Sntb2	2.507518	78442
Klf4	2.5029156	5334
Hdlbp	2.5001287	72868
6430548M08Rik	2.4923568	51154
Phf21b	2.4909341	70753
Abhd3	2.490009	62360
Alkbh5	2.48989	22131
Ept1	2.4773529	39437
Adarb1	2.4750223	127544
Fam83d	2.4736195	18544
Grhl1	2.4696655	45104
Tlcd2	2.4683242	9184
Heca	2.453871	79441
Fryl	2.45216	236296
Snupn	2.4514747	32328
Vgf	2.4476173	3056
Shb	2.444781	109192
Pcmtd1	2.4411056	84706
Cdc5l	2.43985	41815
Muc2	2.439384	64327
Fuca1	2.4388154	19576
Tmtc2	2.4378426	386788
Tex15	2.4362369	68844
Msh3	2.4342978	143122
Pikfyve	2.4304862	87262
Fosl1	2.428916	8242
Ugt8a	2.4287908	73191
Igf2r	2.427455	87258
Tgs1	2.4267693	41744
Smtn	2.4262629	23089
Zfp423	2.4241421	297785
Baiap2	2.4184246	64019
Chka	2.418226	42596
Ifi202b	2.4156377	20275
Pigf	2.415116	28150
Dnajc1	2.4059956	197176
4930518I15Rik	2.3992372	1330
Fndc3b	2.3991213	295145
Pvrl3	2.396787	110819
Sord	2.3943372	30591
Usp7	2.3934581	103586
Zcchc14	2.3908737	54198
Rfx2	2.390358	55111
Raph1	2.3881552	83868
Micu1	2.3869338	161655
Lpin2	2.3846967	67257
Ezr	2.3806534	44743
Creb3l2	2.3804538	114891
Ier2	2.3762765	1521
Etnk1	2.3751018	41312
Adck3	2.3737638	34364
Cdan1	2.3689852	133974
Cdk12	2.3684723	75445
Mapk8	2.3643322	69260
Zswim5	2.3628547	111888
Rgs2	2.3597982	4823
Pip4k2a	2.3575137	155871
Atp7a	2.3573034	97650
Ankhd1	2.3567784	105930
Snhg3	2.3533857	5672
Als2	2.3511355	74305
Tmem181a	2.3487568	35308
Ccnyl1	2.3481169	35189
Ostf1	2.3478386	52461
H3f3a	2.3475394	13111
Arl4d	2.3454864	2291
Odc1	2.3444812	6629
Rnf19b	2.3439867	27615
Ptpn4	2.3419588	179569
Krit1	2.3414946	44322
Mfsd1	2.336579	21463
Hsdl2	2.3323464	37130
Leng1	2.33227	5742
Pag1	2.329666	146200
B3galnt2	2.3217084	44394
Zfyve21	2.3215148	14215
Srsf7	2.321238	7200
Rnf169	2.321005	30456
Sat1	2.3187335	3317
Polg	2.317179	17571
Csnk1g3	2.3170624	93571
Usp37	2.315391	108776
Magel2	2.315324	4661
Epha10	2.3139923	36901
Neto2	2.3134332	63517
Cnnm4	2.312698	37179
Sowahc	2.3122501	4478
Rgmb	2.310474	21924
Igdcc3	2.299517	44703
Dock4	2.2982879	400433
Pdzd8	2.2946892	49696
Dnm2	2.2940567	82851
Adam17	2.2937064	50123
5430405H02Rik	2.2907326	10515
Pdxp	2.2884843	5598
Dusp14	2.2881324	21220
Tacc1	2.2817876	46897
Tmod3	2.2799976	61861
Sox9	2.2788947	5536
Atf2	2.276145	76130
Hspa1a	2.2751293	2925
Srsf10	2.2738094	14161
Arih1	2.272563	98360
Prpf38b	2.2706172	9060
Rab14	2.270389	20915
Asap1	2.2677786	296062
Tmpo	2.2634358	24443
Trpm7	2.262437	84665
Aak1	2.2611768	142347
Errfi1	2.2610753	14973
Slc25a33	2.261066	30241
Zfpm2	2.2569633	449550
Ptch1	2.2564425	64213
Herc4	2.2547557	73963
Slc7a6os	2.2526236	10495
Ccno	2.2524495	2976
G530011O06Rik	2.2502952	3874
Slc25a32	2.2497401	18525
H3f3b	2.247122	6050
Crlf3	2.2468975	34475
Pim3	2.2465415	3534
Lrpap1	2.2462778	14276
D6Ertd527e	2.2441397	7425
Pcdh19	2.243711	106130
Dgat1	2.2426543	9936
Taf15	2.2381353	33657
Kcnb1	2.2375934	86777
Zfp292	2.2373126	79847
Pcf11	2.2363236	26221
Agtr2	2.2323024	4620
Pten	2.231369	68663
Pcsk5	2.2279956	404239
Hmgb2	2.2278645	4156
Dhfr	2.2258027	34270
Rasal2	2.223449	277412
Mms19	2.2231731	40071
Smc4	2.221715	29885
Dlx6	2.2177663	5234
Pdlim5	2.2147212	155062
Lat2	2.2081177	14755
Cdkn1c	2.2077782	2700
Arg2	2.2058191	25524
Egr1	2.2054403	5161
Pot1a	2.2024837	65509
Ctr9	2.2002788	27426
Mybl1	2.19901	32794
Vav3	2.1977704	345045
Arrdc2	2.1976497	4565
Polg2	2.1948924	11284
Ociad1	2.1946929	21283
Lifr	2.194346	67930
Ing1	2.19362	7184
Ss18	2.1913908	58716
Slk	2.189922	65568
B3galt1	2.1884716	18018
Usp1	2.1883297	11733
Wfs1	2.188285	22878
Gem	2.187716	10295
Pls1	2.1861432	92669
Tra2a	2.1855702	20131
Dusp10	2.1851766	62334
Tgfb2	2.1841893	82806
Inpp4a	2.1835234	110871
C920025E04Rik	2.1827347	3102
Eml4	2.1819913	129430
Pnpla3	2.1805549	21696
Dbt	2.1793811	36906
Eif3a	2.1780417	29577
Jun	2.1779232	3188
Arntl2	2.1767623	37474
Ulk1	2.1767497	25609
Tfrc	2.17583	23874
Cbx2	2.1755855	8308
Rhoa	2.1748953	31734
Ephb3	2.1745977	18550
Slc1a5	2.1727788	16928
Paip2b	2.1722586	26340
Fzd8	2.172228	3345
Utp6	2.1718173	30069
Xpr1	2.168722	141714
Creb1	2.1683626	71743
1700093K21Rik	2.167805	4952
4931423N10Rik	2.167411	59653
Ccnd3	2.1642885	94632
Map2k3	2.1637602	20778
Fam162a	2.1622002	27671
Hist1h2bp	2.1613808	1752
Naa16	2.158645	56574
Ahi1	2.1573074	127843
Prrc2c	2.155089	67148
Zfp78	2.1548462	8133
Ifnz	2.1522555	1461
Ifi202b	2.1517386	20275
Mfsd2b	2.1510918	11919
Ddhd1	2.1503942	64969
Sarm1	2.1489573	25424
Ammecr1	2.1485858	115582
Slco6b1	2.148545	91401
Zfp69	2.1459956	21562
Dynll1	2.1429632	3889
Amd1	2.1429174	14727
Zswim6	2.142028	165560
4933407K13Rik	2.1413717	57767
Pqlc2	2.1413097	16679
Lrig2	2.1397753	57933
Mrpl17	2.1359363	4441
Pmaip1	2.1351304	6946
AU022252	2.1335487	29142
Wdhd1	2.1320884	35913
Pi4k2b	2.1283743	27757
Gm10785	2.127278	26731
Plagl1	2.1228666	41003
1700017B05Rik	2.121746	10277
Txnip	2.1201332	3926
Entpd5	2.118726	35172
Bclaf1	2.1179926	30032
Mbnl2	2.1172576	156028
Zfp963	2.1156836	8331
Ncaph	2.114754	30145
Rbm14	2.1121893	27335
E2f6	2.1116965	15778
Spc25	2.1115558	12299
Nipbl	2.1114407	153238
Snx29	2.1100495	80944
Pfkl	2.1088035	23136
Cbln1	2.108333	3747
Cdh4	2.1081448	456942
Prkag1	2.105466	18710
Tspan15	2.1034734	45830
Cd2ap	2.1032884	83473
Rbm38	2.1027246	14236
B2m	2.1023705	5397
Man2b1	2.102191	15470
Mex3c	2.0992715	19531
Trnp1	2.0989418	7450
Nedd9	2.0979934	177404
Gabrr2	2.0972724	32866
Malat1	2.095471	6981
Taf13	2.095083	11524
9130221H12Rik	2.0944147	1570
Mphosph9	2.0932767	77013
Ggct	2.0907333	10370
Cenpj	2.0903406	45085
2410127L17Rik	2.0903037	34008
Rcor1	2.090303	76551
Ankrd37	2.0843737	2965
Adipor2	2.0841138	64333
Slc9a6	2.0828032	54473
Sned1	2.0826283	65224
Trp53i13	2.0803115	7881
Tpcn1	2.0797338	54453
Rprd1a	2.0796447	45242
Chaf1b	2.0762296	22214
9530059O14Rik	2.071266	107099
Papd5	2.0704195	60509
Mfsd12	2.0695086	8734
Dleu2	2.067989	62844
E2f7	2.0679283	41945
Snapc1	2.0670629	20290
Pgm1	2.0666232	35419
Akr7a5	2.0665004	7682
Haus3	2.0654297	15524
Rhpn1	2.0652354	10130
Gxylt1	2.0633824	35437
Pcdh17	2.063018	93497
Srek1	2.062357	32844
Sufu	2.0620887	91908
Cdk2ap2	2.0617268	1837
Tdp2	2.0616298	10474
Rngtt	2.0613859	192303
Mtfmt	2.0591962	17272
Clcn5	2.057387	165548
Azin1	2.055853	31836
1110008J03Rik	2.0558324	18284
Zfp346	2.0522966	29514
Ppp2r5a	2.0504165	45060
Icmt	2.049452	9894
Far1	2.0494046	57677
5730480H06Rik	2.0489109	18721
Arl5b	2.048568	33061
Suz12	2.048323	41017
Tac1	2.0470948	7902
Nufip2	2.0461822	55653
Gpr115	2.0458055	35393
Sipa1l2	2.0457418	74647
Shisa2	2.0446508	6377
Pitpnc1	2.0446267	262828
Dgkd	2.0440102	91202
Zfp398	2.0426693	32596
Tsen2	2.0416324	33686
Spem1	2.0415218	1304
Fgfr1op2	2.0411503	21995
Huwe1	2.0409153	134610
Mepce	2.038277	4809
Homer1	2.0382752	101205
Irf2bp2	2.03807	5140
Arhgap17	2.0369856	90765
Pard6b	2.0366743	20199
Cnot4	2.036203	111671
Eml5	2.035866	114880
Slc4a7	2.0347703	96918
Zfp46	2.0335898	9259
Sdc1	2.0328867	22392
BC026590	2.0328248	7256
Gpcpd1	2.0320299	58647
Mid1	2.0308151	320539
Dgkk	2.0305347	169057
Myh7b	2.0298522	23095
Phex	2.0273333	256626
Helb	2.0272467	29379
Mpzl1	2.0263515	42360
Rps6ka1	2.025438	40507
Ipp	2.0252128	30694
Gnai1	2.0251355	95278
Ttll4	2.0233436	40087
Hist1h3b	2.0232139	619
Btla	2.0223298	28580
Snap23	2.021519	33584
Fzd3	2.020722	61437
Ckap2	2.020565	17667
Cdk13	2.020257	89135
Mmp17	2.0198417	23997
Pkn2	2.0196517	91102
Zfhx2	2.0195081	32062
Sesn2	2.018264	18469
Ube2s	2.0176022	4326
Npl	2.0174553	46698
Setdb2	2.0171814	38875
Efhc1	2.0141864	39212
Pfkfb2	2.013793	40210
Paqr8	2.0121315	48941
Arl4a	2.0106058	32578
Aldh8a1	2.0098014	19294
Gopc	2.0088315	44990
Slc35e3	2.0081093	12679
Lamp2	2.0077996	55097
Tnrc6c	2.0077732	109150
Ube2o	2.0072343	43707
Nxn	2.0047896	141942
Ezh2	2.0038106	65067
Srd5a1	2.0037265	37993
Rrbp1	2.002295	63868
Zfp420	2.0016494	55680
Mpp7	2.0011997	278901
Snord104	1.9999573	69
Etv5	1.9994463	58410
Pex10	1.9990796	5417
Aspm	1.9983793	39317
Fmnl3	1.9979137	53257
Rbm14	1.9977872	27335
Wdr91	1.9942977	30450
Hspa8	1.9940987	4216
1700001P01Rik	1.9938414	4437
Lman1	1.9932942	41826
Lepr	1.9929969	97948
Zdhhc18	1.990945	44855
Megf9	1.9907228	107930
Arhgap32	1.9896402	152310
Fam188a	1.9888908	72206
Atmin	1.9885839	17052
Tbc1d8	1.9876281	107248
Hlf	1.9839482	54382
Cggbp1	1.9816147	7511
Pan3	1.9814386	118341
Sfmbt1	1.9812177	107864
Ankrd11	1.9809443	158676
Shh	1.9798927	10286
Topors	1.9797796	10249
Pou3f4	1.9791129	1181
Brwd3	1.978652	97356
Snrnp48	1.977929	22724
Asrgl1	1.9773886	25768
Eef1d	1.9766856	14760
Chek2	1.9758168	34116
Ccne2	1.9750493	13428
Slbp	1.9747038	17622
Eif2s3y	1.9745934	18304
Zcchc2	1.9735585	43668
Gadd45a	1.9727588	2361
Tnfrsf22	1.9724865	1779
Msh6	1.9713451	15833
Ahctf1	1.9711865	58786
Dzip1	1.9696374	49867
Cyp39a1	1.9686464	84006
Gab3	1.9685109	118615
Msrb3	1.9665035	118005
Pola2	1.9661322	23663
Slc20a2	1.9658352	92907
Lamb3	1.9655588	41921
Ppm1d	1.9650553	35822
Alms1	1.9642583	115222
Atp11a	1.9628379	111714
Nsf	1.9627713	132274
Fnip1	1.9613996	80036
Dap	1.9611714	49953
Itpka	1.9601274	8926
Epm2aip1	1.9594455	7244
2700097O09Rik	1.9580171	34449
Mylk3	1.9573563	62042
Api5	1.9561374	26454
Abca4	1.95567	135618
Ski	1.9555397	68517
Ephb1	1.954949	432565
Ctsb	1.9541663	23456
Itpkc	1.9510113	21456
Fbxo5	1.9504733	6440
Tle4	1.950387	149911
1700123O20Rik	1.9495715	4571
Dctpp1	1.9479041	3750
Swap70	1.9464599	61800
Ostm1	1.9455286	118637
Ppp1r13b	1.9448736	44158
Stat2	1.943667	22276
Mcl1	1.9420035	4456
Tspan5	1.9414845	162238
Tuba4a	1.9407909	4279
2610019E17Rik	1.9394128	496
Sirt7	1.939379	6868
Kbtbd3	1.9386191	21978
Nop56	1.9383852	4883
3110002H16Rik	1.9383378	21280
C920025E04Rik	1.9381582	3102
Rnd1	1.9379265	14040
Asxl2	1.9360486	79995
Ascl3	1.9354932	4267
Usp48	1.9352897	64782
Adcy9	1.933342	132969
Tollip	1.9332783	43694
Gm5544	1.9320059	36845
Zfp454	1.9319495	14931
H1fx	1.9312382	1060
Zfp503	1.9311152	5639
Recql4	1.9300822	6979
Uhrf1bp1	1.9296831	43550
Pgd	1.9292154	16780
Atf7ip	1.9282328	88526
Urod	1.928193	4448
Tln2	1.9281653	342616
Etv3	1.9281566	14749
Cbx4	1.926767	8648
Nfya	1.9261644	23021
Fam84a	1.9246838	4439
Snhg12	1.9246752	2346
Chd7	1.9236026	177253
Slc45a4	1.9235085	68338
Plk5	1.9230893	9030
Bzw2	1.9224449	64979
Alkbh6	1.9209828	5587
Gnpda2	1.9183052	19229
Paqr5	1.9181936	73375
Gnai2	1.9179139	21212
Suv39h2	1.9176488	19216
Ero1l	1.9171041	35358
Tanc1	1.9160769	234107
1810055G02Rik	1.9153306	9548
Slco4c1	1.9146769	53387
Wdr18	1.9130399	9094
Mrpl49	1.9111801	4128
Ccdc61	1.9109732	19532
Rmnd5a	1.9103272	52003
Rnf170	1.9102336	24503
Coq10a	1.9098449	6935
Trim42	1.9084488	20396
B230216G23Rik	1.9066614	6289
Tmem189	1.9063972	47214
Gm9222	1.9049188	335
Card6	1.9040604	12558
Acad9	1.9025525	28965
2900052L18Rik	1.9022548	1783
Sh2b3	1.9021702	21371
Rcc1	1.9019824	21686
9630033F20Rik	1.9016227	24434
Syn2	1.9013987	147724
Ccdc85b	1.9005078	4386
Ero1lb	1.8992041	43643
Osbpl6	1.8989159	194139
Gm14446	1.898802	9080
Gab1	1.8986801	116045
Mllt3	1.8983401	263439
A130010J15Rik	1.8978589	8254
Exo1	1.8969189	30618
Aldh4a1	1.8954301	26824
Eri1	1.8937454	30268
Wdr20a	1.8931934	66296
Tor1b	1.8924298	6056
Zmynd19	1.8920754	12283
Ccbl1	1.891156	20723
Hadh	1.8910989	38682
Qpctl	1.8902396	8979
Zscan21	1.8901552	17362
Sipa1l1	1.8897104	282362
Nebl	1.8885889	387555
Slc2a2	1.8885612	30453
Rpl12	1.8882425	2937
Elovl4	1.8865219	27612
Malt1	1.8862187	47860
Etfa	1.886078	57735
Zfp142	1.8857731	23119
Ing2	1.8848422	8378
1700023H06Rik	1.8844761	1300
Cd320	1.8836895	6683
Gm10482	1.8825319	632
Ulk2	1.8825157	79424
Taf3	1.881257	134044
Ankrd61	1.881156	6944
Mbd5	1.8789347	372774
Snx14	1.8782716	62211
Sh2b2	1.8763754	26754
Ptchd2	1.875252	47701
Rapgef6	1.874364	176438
Cebpa	1.873845	2633
Atxn7l3b	1.8711867	3588
9430091E24Rik	1.870876	16594
Terf1	1.8694065	37812
Csnk2a1	1.8689883	55013
Csnk2a1	1.868936	55013
Hook3	1.8688167	97803
Atf3	1.8680854	13044
Bmp2k	1.8673328	94178
Smarca5	1.8671513	40990
Smyd3	1.8668356	566081
Dnmt3b	1.8662393	38280
Spata2l	1.8656495	5686
Npat	1.8652798	37295
Srrm2	1.8645874	21552
Hspa4	1.864548	40643
Mirg	1.8632518	14474
Myo1a	1.8632423	15717
Wdr26	1.8616859	38750
5830417I10Rik	1.8609915	51112
Lss	1.8608	25550
Dpp7	1.8607144	4083
Actn4	1.860415	69092
Cpne1	1.860253	40114
Fras1	1.8598601	410773
Dtl	1.8594874	38169
C2cd2l	1.8593136	11045
Rbm15	1.8587149	7728
Rps6ka5	1.8584516	175250
Chga	1.8578638	10058
Amy1	1.8574474	50989
Zdhhc14	1.855784	261291
Ssbp3	1.8557824	138993
Gdap10	1.855103	5032
Ggnbp1	1.8542956	63161
Cep78	1.8534063	29215
Ncor2	1.8531758	162066
Clcn2	1.8527553	14782
Slc35b2	1.8527323	3710
C1galt1	1.8519789	27205
Ufsp1	1.8512323	995
BC005561	1.8503381	14031
Ormdl1	1.8500522	13214
Bcorl1	1.8497807	66691
Prkar1a	1.8489776	20251
Nfasc	1.8483492	177106
Cgn	1.848339	125907
Spns2	1.8475742	38323
Abcg2	1.8474729	108346
Chsy3	1.8466455	235045
Snx18	1.8465348	26384
Arhgap5	1.8462751	51775
Foxk1	1.8456432	60517
Tubgcp5	1.8448423	37299
Gpr50	1.8442683	5590
Msl2	1.843453	28663
Myl12a	1.842962	9222
Bcr	1.8418878	124027
Agfg2	1.8416854	34243
Bahd1	1.841033	24151
Slco6c1	1.8407271	69215
Hsf2	1.8407228	26748
Igf1r	1.8404359	273771
Polr3g	1.8390987	37170
Lin7a	1.8389379	153300
Cstf2	1.8383154	27632
Tgoln1	1.8379179	8568
Notch2	1.8368893	136829
Fam102b	1.8364615	56610
Nostrin	1.8363487	53530
Arc	1.835958	3487
Arhgap26	1.835418	774750
Fbxl14	1.8348018	4218
Ecm2	1.8346802	27979
Cyr61	1.8343635	3014
Ptk7	1.8342764	65053
Rdh9	1.8334244	32910
Hsp90b1	1.8330356	15300
Trp53bp2	1.8329253	53260
Mga	1.8327483	72353
6430590A07Rik	1.8327171	8226
Socs7	1.8319926	35991
Glce	1.8315386	13358
Nav2	1.8314933	363898
Ddx59	1.8308104	24887
Enpp4	1.8299835	9501
Tyms	1.8297024	15415
Eif5	1.8294721	17958
Grk4	1.8292199	94926
Gatsl2	1.8282245	44632
Gsdmc2	1.8276466	11603
Ubn1	1.8275	36217
Btbd7	1.827487	93750
BC022687	1.8249689	7270
Hal	1.8249156	30536
Jund	1.8241127	2877
Clk2	1.8240101	12126
Ndel1	1.8228629	50424
Hey1	1.8228593	3677
Sod1	1.8226514	5580
Ap3b1	1.8221711	207356
Col4a3bp	1.8220948	97432
Tspan31	1.8215914	2944
Vti1a	1.8215904	310980
Anp32e	1.8208344	18144
5330434G04Rik	1.8207064	43494
Fzd9	1.8205714	2292
Cad	1.8202423	23699
Pou3f1	1.819481	3010
Pknox1	1.818893	42931
Npc2	1.8184772	18552
Rnf216	1.8177663	122101
Fam126b	1.8171828	63517
Tmf1	1.8170723	23858
Atg12	1.815265	9162
Ina	1.8149775	10629
A630052C17Rik	1.8141075	2649
Pnrc1	1.8140802	44740
Smg1	1.8138961	112319
Eps15l1	1.8135271	80473
Myo1d	1.8129497	297899
Iqsec3	1.8125277	100748
Paf1	1.8124185	6437
Ccl25	1.8110821	34810
Trim43a	1.8102057	8216
Uimc1	1.8093656	72420
Eed	1.8088415	26327
Zswim7	1.8087064	14151
Kcnc1	1.8086418	41878
Alcam	1.8086169	205078
Abhd5	1.8083135	29916
Mapk9	1.8079708	39670
Rnf149	1.8075863	26109
Kcne2	1.8072062	5740
Spsb1	1.8069956	58760
Nr1h2	1.8066602	4335
Pnpt1	1.8059182	31084
Gca	1.8055807	29824
Naa30	1.8051336	18805
Gatad2b	1.8039453	16466
Tnfsf13b	1.8035657	28598
Cachd1	1.8021504	252545
Pole2	1.8020948	26411
Slc26a6	1.801685	8104
Scaf4	1.8010345	55468
Klhl4	1.8004673	86496
Ppm1b	1.8004535	67250
Carhsp1	1.7993038	13566
Nos1ap	1.7987783	287193
Tle1	1.7982796	83777
Cyp26b1	1.7977824	21802
Cnnm3	1.7972101	16370
Cdk16	1.7963841	11926
Pkp4	1.796064	194358
